Category,Unit,Process,Total  eco-costs  (euro),eco-costs of human health (euro),eco-costs of exo-tocicity (euro ),eco-costs of resource (scarcity   euro),eco-costs of carbon  (footprint euro),eco-costs of Acidification (euro ),eco-costs of Eutrophication (euro ),eco-costs of Photochemical (oxidants   euro ),eco-costs of Fine dust (euro ),eco-costs of Human tocicity (cancer        euro ),eco-costs of Human tocicity (non-canc  euro),eco-costs of Ecotoxicity  (freshwater euro ),eco-costs of Metals Scarcity (euro ),eco-costs of fossil products (              euro),eco-costs of uranium (euro ),eco-costs of land-use (euro ),eco-costs of Baseline Water (Stress       euro ),eco-costs of Landfill ( euro ),Carbon footprint (kg CO2 equiv.),CED (Total) (MJ),Non-renewable fossil (MJ),Non-renewable nuclear (MJ),Non-renewable biomass (MJ),Renewable biomass (MJ),"Renewable wind, solar, geo (MJ)",Renewable water (MJ),ReCiPe2016 endpoint (Pt) (World(2010) H/A),ReCiPe human health (Pt),ReCiPe ecotoxixity (Pt),ReCiPe resources (Pt),ReCiPe human health (DALY),ReCiPe ecotoxixity (species.year),ReCiPe resources (USD2013),"Global warming,  Human health (DALY)","Global warming,  Terrestrial ecosystems (species.year)","Global warming,  Freshwater ecosystems (species.year)",Stratospheric  ozone depletion (DALY),Ionizing  radiation (DALY),"Ozone formation,  Human health (DALY)",Fine particulate  matter formation (DALY),"Ozone formation,  Terrestrial ecosystems (species.year)",Terrestrial  acidification (species.year),Freshwater  eutrophication (species.year),Marine  eutrophication (species.year),Terrestrial  ecotoxicity (species.year),Freshwater  ecotoxicity (species.year),Marine  ecotoxicity (species.year),Human  carcinogenic toxicity (DALY),Human  non-carcinogenic toxicity (DALY),Land use . (species.year),mineral resource  scarcity (USD2013),Fossil resource  scarcity (USD2013),"Water consumption,  Human health (DALY)","Water consumption,  Terrestrial ecosystem (species.year)","Water consumption,  Aquatic ecosystems (species.year)",EF 3.1 Total (Pt),Acidification  (Pt),Climate change  (Pt),Ecotoxicity freshwater (Pt),Particulate  matter (Pt),"Eutrophication,  marine (Pt)","Eutrophication,  freshwater (Pt)","Eutrophication,  terrestrial (Pt)","Human toxicity,  cancer (Pt)","Human toxicity, non-cancer non-cancer (Pt)",Ionising radiation  (Pt),Land use  (Pt),Ozone depletion  (Pt),Photochemical ozone formation  (Pt),"Resource use,  fossils (Pt)","Resource use,  minerals+metals (Pt)",Water use  (Pt),Sources of LCI:
"Materials, plastics, bioplastics",kg ,bio-PE (Polyethylene) not biodegradable,"0,3394","0,0403","0,0504","0,0000","0,24871","0,04369374","0,006725","0,002888028","0,037394052",0,"0,00000018435082","0,0000000035578039",0,0,0,"0,00E+00","0,00E+00",0,"1,8700","87,453","86,053",0,0,"1,4",0,0,"0,04728","0,04219","0,00169","0,00340","0,000002529309","0,000000006258483055","0,476566","1,74E-06","5,24E-09","1,43E-13","0,00E+00","0,00E+00","4,29E-10","7,94E-07","9,80E-11","9,24E-10","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00",0,"0,476566","0,00E+00","0,00E+00","0,00E+00","1,62E-04","6,37E-06","0,000052140562","4,17E-13","3,90E-05","0,00E+00","0,00E+00","0,00E+00","0,00E+00","1,22E-10","0,00E+00","0,00E+00","0,00E+00","2,98E-06","6,12E-05",0,"0,00E+00","derived from Idemat2023 PE (LDPE, Low density Polyethylene)"
"Materials, plastics, bioplastics",kg ,"CA (Cellulose polymers, biodegradable)","1,2822","0,0498","0,0829","0,0117","1,13777","0,029750378","0,048744437","0,041890807","0,0064456551","0,00076780608","0,00066974063","0,0044029452","0,0015797053",0,"0,010110439","3,34E-05","0,00E+00",0,"8,5547","120,50587","118,85649","1,3707211",0,0,"0,013723497","0,26493586","0,16622","0,15311","0,00714","0,00596","0,000009179273041","0,00000002641822479","0,8349854674","8,06E-06","2,43E-08","6,64E-13","5,39E-10","7,00E-11","6,23E-09","1,10E-06","9,02E-10","1,14E-09","7,86E-13","4,03E-15","1,66E-12","9,62E-14","7,27E-14","8,36E-09","3,21E-09","4,15E-11","0,000074337414","0,83491113","0,00E+00","0,00E+00","0,00E+00","4,21E-04","9,88E-06","0,00023852732","5,18E-07","1,10E-05","3,91E-06","1,01E-09","5,98E-06","1,03E-06","4,43E-07","5,26E-07","3,02E-08","9,28E-09","9,84E-06","1,39E-04","0,00000036798362","0,00E+00","litt. Pooja Yadav, Norafiqah Ismail, Mohamed Essalhi, Mats Tysklind b, Dimitris Athanassiadis, Naser Tavajohi. Assessment of the environmental impact of polymeric membrane production. Journal of Membrane Science 622 (2021)"
"Materials, plastics, bioplastics",kg ,"PA-11 (Nylon-11), bio-based not biodegradable","0,3975","0,0530","0,0279","0,0000","0,31654","0,0277695","0,00006502806","0,004869072","0,04812",0,"0,000059374731","0,00010994326",0,0,0,"0,00E+00","0,00E+00",0,"2,3800","60,409","56,559",0,0,"3,85",0,0,"0,05372","0,04944","0,00185","0,00243","0,00000296416488","0,00000000682949007","0,340974","2,21E-06","6,66E-09","1,82E-13","0,00E+00","0,00E+00","7,25E-10","7,55E-07","1,65E-10","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00",0,"0,340974","0,00E+00","0,00E+00","0,00E+00","1,58E-04","0,00E+00","0,000066360715","1,29E-08","4,31E-05","0,00E+00","0,00E+00","0,00E+00","0,00E+00","3,93E-08","0,00E+00","0,00E+00","0,00E+00","5,17E-06","4,38E-05",0,"0,00E+00",Litt. https://cosmetotheque.com/wp-content/uploads/2020/05/A4_Orgasol_GreenTouch.pdf 
"Materials, plastics, bioplastics",kg ,PEF (not biodegradable) to replace PET,"0,4208","0,0567","0,0729","0,0000","0,29127","0,064839105","0,0080162","0,0051318036","0,051565392",0,"0,00000032757722","0,0000000063219438",0,0,0,0,0,0,"2,1900","73,421","73,421",0,0,0,0,0,"0,05806","0,05355","0,00208","0,00243","0,0000032106223","0,000000007677981535","0,339977","2,03E-06","6,13E-09","1,68E-13","0,00E+00",0,"7,62E-10","1,18E-06","1,74E-10","1,37E-09","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00",0,0,"0,339977","0,00E+00","0,00E+00","0,00E+00","1,74E-04","9,46E-06","0,000061063011","7,41E-13","5,43E-05","0,00E+00","0,00E+00","0,00E+00","0,00E+00","2,17E-10",0,0,0,"5,18E-06","0,00004364514","0,00E+00","0,00E+00","Derived from PET and litt. A. J. J. E. Eerhart, A. P. C. Faaij and M. K. Patel. Replacing fossil based PET with biobased PEF; process analysis, energy and GHG balance. Energy & Environmental Science, Issue 4. 2012. However, the replacement of NREU in this theoretical calculation is not so sure in practice (similar to the replacement in other bio-plastics)"
"Materials, plastics, bioplastics",kg ,"PHA (Polyhydroxyalkanoates, biodegradable)","0,4233","0,0129","0,0257","0,0380","0,34663","0,011909415","0,013178542","0,011207688","0,0014945929","0,00011114907","0,000096952929","0,00063737874","0,0014686362",0,"0,036558245","4,84E-06",0,0,"2,6062","40,854082","32,58211","4,9557717",0,"0,40831657","1,7917682","1,1161158","0,05018","0,04677","0,00216","0,00125","0,000002803957179","0,000000007987751057","0,1752185778","2,44E-06","7,35E-09","2,01E-13","7,80E-11","1,01E-11","1,67E-09","3,64E-07","2,39E-10","3,91E-10","1,14E-13","5,83E-16","2,41E-13","1,39E-14","1,05E-14","1,21E-09","4,64E-10","6,01E-12","0,000035787841","0,17518279","0,00E+00","0,00E+00","0,00E+00","1,30E-04","0,000003233587","0,000072668361","7,50E-08","0,0000032118777","1,06E-06","1,46E-10","1,62E-06","1,49E-07","6,42E-08","7,61E-08","4,37E-09","1,34E-09","2,48E-06","0,000044560822","6,51E-07","0,00E+00","litt. Luciano Vogli, Stefano Macrelli, Diego Marazza, Paola Galletti, Cristian Torri, Chiara Samorì and Serena Righi. Life Cycle Assessment and Energy Balance of a Novel Polyhydroxyalkanoates Production Process with Mixed Microbial Cultures Fed on Pyrolytic Products of Wastewater Treatment Sludge. Energies 2020, 13, 2706; doi:10.3390/en13112706. Note: the pyrolysis separated (subtracted) from the rest of the processes."
"Materials, plastics, bioplastics",kg ,"PLA (Polylactide, biodegradable)","0,5251","0,0204","0,0339","0,0048","0,46595","0,012183488","0,019962008","0,017155283","0,0026396492","3,14E-04","0,00027427473","0,0018031109","0,00064692692",0,"0,0041404656","1,37E-05","0,00E+00",0,"3,5033","49,350025","48,674564","0,56134295",0,0,"0,0056200988","0,10849754","0,06807","0,06270","0,00293","0,00244","0,000003759130792","0,00000001081889194","0,3419464229","3,30E-06","9,96E-09","2,72E-13","2,21E-10","2,87E-11","2,55E-09","4,50E-07","3,69E-10","4,69E-10","3,22E-13","1,65E-15","6,82E-13","3,94E-14","2,98E-14","3,42E-09","1,31E-09","1,70E-11","0,000030442941","0,34191598","0,00E+00","0,00E+00","0,00E+00","1,72E-04","4,05E-06","0,000097682617","2,12E-07","4,51E-06","1,60E-06","4,13E-10","2,45E-06","4,22E-07","1,81E-07","2,15E-07","1,24E-08","3,80E-09","4,03E-06","5,69E-05","1,51E-07","0,00E+00","Litt. Erfan Rezvani Ghomi, Fatemeh Khosravi, Ali Saedi Ardahaei, Yunqian Dai, Rasoul Esmaeely Neisiany, Firoozeh Foroughi, Min Wu, Oisik Das and Seeram Ramakrishna. The Life Cycle Assessment for Polylactic Acid (PLA) to Make It a Low-Carbon Material. Polymers 2021, 13, 1854. https://doi.org/10.3390/polym13111854 Fig.7 (exclusive uptake and end-of-life). Note: these types of LCAs are highly uncertain (dependant on the case that has been studied). Only the non renewable energy matters."
"Materials, plastics, bioplastics",kg ,PBS-Starch 50%-50% blend biodegradable plastic,"0,3812","0,0246","0,0486","0,0165","0,29156","0,020989752","0,022994608","0,019382132","0,0045604031","0,00032380459","0,00035603358","0,0045911875","0,0014587745","0,0081776628","0,0067975069","3,68E-05","0,000015279994",0,"2,1922","54,327991","52,865807","0,92149375",0,"0,12375781","0,23129721","0,18563481","0,05034","0,04550","0,00202","0,00281","0,000002728018961","0,000000007467648403","0,3940936334","2,06E-06","6,23E-09","1,70E-13","1,04E-10","1,22E-11","2,88E-09","6,54E-07","4,14E-10","6,85E-10","3,49E-13","3,78E-15","3,64E-11","3,00E-11","2,90E-12","4,37E-09","2,94E-09","7,07E-11","0,00027574339","0,39381789","2,55E-10","1,55E-12","6,94E-17","1,49E-04","0,0000056514613","0,000061123923","5,38E-07","0,00000732488","1,84E-06","1,19E-09","2,80E-06","4,35E-07","2,36E-07","9,18E-08","6,56E-08","1,70E-09","4,33E-06","0,00006390824","4,76E-07","3,66E-08","Hassan Issa Moussa and Steven B. Young. POLYBUTYLENE SUCCINATE LIFE CYCLE ASSESSMENT VARIATIONS AND VARIABLES. Conference Paper · November 2012. Univ of Waterloo, Canada. Note: these types of LCAs are highly uncertain (dependant on the case that has been studied). Only the non renewable energy matters. PLUS Idemat2022 Potatoe starch, DE"
"Materials, plastics, bioplastics",kg ,"PBS (Polybutylene succinate, biodegradable thermoplastic)","0,6426","0,0454","0,0819","0,0162","0,49915","0,037784501","0,042304778","0,035849169","0,0086028034","0,00060394346","0,00032761666","0,0018606374","0,0027009192","0,0041252554","0,0092824692","2,62E-05","3,04E-05",0,"3,7530","99,293997","97,326936","1,2583815",0,"0,20265351","0,26549824","0,24052773","0,08779","0,07911","0,00345","0,00523","0,000004742816961","0,00000001275927419","0,7318897042","3,53E-06","1,07E-08","2,91E-13","1,67E-10","2,12E-11","5,33E-09","1,19E-06","7,66E-10","1,24E-09","5,98E-13","4,91E-15","1,69E-11","1,37E-13","1,04E-13","8,25E-09","1,92E-09","6,35E-11","0,00012881419","0,73176089","5,07E-10","3,08E-12","1,38E-16","2,64E-04","1,03E-05","0,00010464351","2,19E-07","1,35E-05","3,39E-06","8,71E-10","5,15E-06","8,10E-07","2,17E-07","1,60E-07","8,03E-08","2,83E-09","7,97E-06","1,17E-04","3,86E-07","7,28E-08","Hassan Issa Moussa and Steven B. Young. POLYBUTYLENE SUCCINATE LIFE CYCLE ASSESSMENT VARIATIONS AND VARIABLES. Conference Paper · November 2012. Univ of Waterloo, Canada. Note: these types of LCAs are highly uncertain (dependant on the case that has been studied). Only the non renewable energy matters."
"Materials, plastics, bioplastics",kg ,"PBAT (polybutylene adipate-co-terephthalate, biodegradable t","0,7544","0,0310","0,1003","0,0140","0,60899","0,052612539","0,026248841","0,021733849","0,0082571783","0,00061603312","0,00042527477","0,021473243","0,0022179306","0,0043084934","0,0074618682","2,65E-05","1,95E-05",0,"4,5789","84,714795","82,989525","1,0115637",0,"0,26247032","0,23515331","0,21608243","0,10630","0,09796","0,00402","0,00432","0,000005872678341","0,0000000148844383","0,6055739135","4,29E-06","1,30E-08","3,54E-13","1,60E-10","2,04E-11","3,23E-09","1,29E-06","4,76E-10","1,37E-09","2,76E-12","2,08E-15","1,23E-11","2,13E-11","4,63E-12","8,64E-09","2,75E-07","3,99E-11","0,00010213351","0,60547178","3,78E-10","2,30E-12","1,03E-16","2,68E-04","0,000010451838","0,00012767173","2,52E-06","0,000014469726","1,96E-06","8,60E-10","3,00E-06","8,27E-07","2,81E-07","1,53E-07","2,69E-08","2,73E-09","0,0000059202125","0,000099739483","4,79E-07","5,42E-08","Literature. Broeren MLM, Kuling L, Worrell E, Shen Li. 2017. Environmental impact assessment of six starch plastics focusing on wastewater-derived starch and additives. Resources, Conservation & Recycling 127 (2017) 246–255. URL https://dspace.library.uu.nl/handle/1874/357264"
"Materials, plastics, recycled plastics",kg ,"Mechanical recycled pellets (rPET, rPE, rPP, rPVC), downcycl","0,0961","0,0030","0,0061","0,0136","0,07343","0,0027967461","0,003089407","0,0025451779","0,00032702942","0,000019581803","0,00010362858","0,00016937215","0,00039178748","0,0043388532","0,0088353735","0,000016519125","0,0000013222344",0,"0,5521","8,840362","6,8331618","1,1977057",0,"0,10038926","0,43889823","0,27020697","0,01075","0,01002","0,00047","0,00026","0,0000006008228351","0,000000001728057644","0,03589483932","5,15E-07","1,55E-09","4,25E-14","1,52E-11",0,"3,78E-10","8,40E-08","5,42E-11","9,18E-11","4,25E-14","9,22E-16","6,62E-14","3,45E-15","4,20E-15","1,90E-10","9,86E-10",0,"0,000015350315","0,035879489","2,56E-11","1,56E-13","6,97E-18","2,79E-05","7,57E-07","0,00001539418","1,99E-08","7,12E-07","2,44E-07","5,27E-10","3,76E-07","2,63E-08","6,86E-08","0,000000011771414","0,000000017710284","0,00000000020856596","5,57E-07","0,0000095935181","1,61E-07","3,68E-09",drying and extruding to plastic pellets energy plus transport
"Materials, plastics, recycled plastics",kg ,Moulded Recycled mixed polymer (downcycled),"0,1448","0,0039","0,0086","0,0184","0,11400","0,0043932299","0,0040773234","0,003441797","0,00041578607","1,64E-05","1,87E-05","0,000096892473","0,00064761041","0,00021954597","0,017521319","1,51E-06","6,69E-08",0,"0,8571","14,118519","10,121977","2,375151",0,"0,20137426","0,88290514","0,53711211","0,01643","0,01541","0,00071","0,00032","0,000000923700449","0,000000002618901126","0,04469156024","7,98E-07","2,41E-09","6,58E-14","1,16E-11","1,48E-12","5,12E-10","1,25E-07","7,30E-11","1,36E-10","1,79E-14","1,27E-16","3,67E-14","2,10E-15","1,67E-15","1,77E-10","1,14E-10","2,20E-12","1,43E-05","0,044677261","1,30E-12","7,89E-15","3,53E-19","4,30E-05","1,10E-06","2,39E-05","1,14E-08","1,03E-06","3,29E-07","4,69E-11","5,00E-07","2,20E-08","1,24E-08","1,11E-08","1,50E-09","1,97E-10","7,33E-07","1,50E-05","3,03E-07","1,86E-10","Idemat2023 injection moulding, machine only PLUS Idemat2023 Recycling mixed polymer (collecting and sorting endconsumer plastics)"
"Materials, plastics, recycled plastics",kg ,ABS (Acrylonitrile butadiene styrene) chemical upcycled,"0,5613","0,0045","0,0949","0,0094","0,45244","0,085366823","0,0086870528","0,0049124704","-0,00071755225","4,13E-05","2,76E-04","0,00087283108","0,00017629323","0,010415911","-0,0012669769","3,90E-05","9,77E-06",0,"3,4018","53,483316","52,052079","-0,17177134",0,"1,5949738","0,0031455394","0,0048892145","0,08254","0,07926","0,00312","0,00016","0,000004751591922","0,00000001154983511","0,02221656553","3,15E-06","9,51E-09","2,60E-13","4,10E-11","1,93E-12","7,30E-10","1,60E-06","1,36E-10","1,84E-09","1,28E-13","2,80E-15","2,05E-12","1,71E-14","3,95E-14","6,29E-10","3,88E-09","6,42E-11","2,10E-05","0,022195579","1,89E-10","1,15E-12","5,15E-17","1,24E-04","1,28E-05","9,49E-05","1,02E-07","9,65E-06","2,39E-07","2,04E-09","3,74E-07","5,54E-08","1,83E-07","1,44E-08","4,20E-08","2,44E-10","3,52E-06","2,56E-06","3,16E-08","2,72E-08",see box A.130.02
"Materials, plastics, recycled plastics",kg ,"CA (Cellelose acetate, tetra, bio-degradable) chemical upcyc","1,2822","0,0498","0,0829","0,0117","1,13777","0,029750378","0,048744437","0,041890807","6,45E-03","7,68E-04","6,70E-04","4,40E-03","1,58E-03",0,"0,010110439","3,34E-05","0,00E+00",0,"8,5547","120,50587","118,85649","1,3707211",0,0,"0,013723497","0,26493586","0,16622","0,15311","0,00714","0,00596","0,000009179273041","0,00000002641822479","0,8349854674","8,06E-06","2,43E-08","6,64E-13","5,39E-10","7,00E-11","6,23E-09","1,10E-06","9,02E-10","1,14E-09","7,86E-13","4,03E-15","1,66E-12","9,62E-14","7,27E-14","8,36E-09","3,21E-09","4,15E-11","7,43E-05","0,83491113","0,00E+00","0,00E+00","0,00E+00","4,21E-04","9,88E-06","2,39E-04","5,18E-07","1,10E-05","3,91E-06","1,01E-09","5,98E-06","1,03E-06","4,43E-07","5,26E-07","3,02E-08","9,28E-09","9,84E-06","1,39E-04","3,68E-07","0,00E+00",see box A.130.02
"Materials, plastics, recycled plastics",kg ,EVA (Ethylene vinyl acetate) chemical upcycled,"0,8695","0,0571","0,2285","0,0113","0,57261","0,16957851","0,049901496","0,041801524","0,013715322","3,25E-04","1,22E-03","0,0090224711","0,00043388681","0,010415911","0,00041996394","4,60E-05","9,77E-06",0,"4,3054","44,046279","43,944184","0,056935385",0,"-0,010715708","0,0053718889","0,050503901","0,13787","0,13025","0,00466","0,00296","0,000007808519488","0,00000001721732177","0,4152223921","4,01E-06","1,21E-08","3,31E-13","3,51E-10","1,07E-11","6,22E-09","3,76E-06","8,91E-10","4,11E-09","8,48E-13","1,29E-14","2,74E-11","1,76E-13","4,56E-13","6,76E-09","2,51E-08","7,41E-11","4,11E-05","0,4151813","1,89E-10","1,15E-12","5,15E-17","2,60E-04","3,04E-05","1,20E-04","1,06E-06","3,42E-05","3,99E-06","1,27E-08","6,07E-06","4,37E-07","8,08E-07","7,88E-08","4,92E-08","1,23E-09","1,03E-05","5,27E-05","1,51E-07","2,72E-08",see box A.130.02
"Materials, plastics, recycled plastics",kg ,"Flexible Polymeer Foam (PE), chemical upcycled","0,3788","0,0395","0,0483","0,0095","0,28143","0,040429638","0,00756093","0,0034603303","0,035759299","3,91E-05","2,21E-04","0,00035887381","0,00019699","0,010415911","-0,0011130909","3,93E-05","9,77E-06",0,"2,1160","43,481339","42,23576","-0,15090828",0,"1,3848902","0,0033378817","0,0082597574","0,04746","0,04517","0,00188","0,00042","0,000002707774801","0,000000006952661071","0,05859745109","1,96E-06","5,91E-09","1,61E-13","3,10E-11","3,05E-12","5,14E-10","7,45E-07","1,11E-10","8,65E-10","9,28E-14","2,12E-15","1,41E-13","7,31E-15","9,34E-15","3,72E-10","2,33E-09","6,45E-11","2,13E-05","0,058576104","1,89E-10","1,15E-12","5,15E-17","1,14E-04","5,99E-06","5,90E-05","4,22E-08","3,71E-05","5,41E-08","1,24E-09","9,40E-08","5,25E-08","1,46E-07","2,29E-08","4,22E-08","4,06E-10","3,13E-06","7,89E-06","3,19E-08","2,72E-08",see box A.130.02
"Materials, plastics, recycled plastics",kg ,"Ionomer, chemical upcycled","2,4971","0,1809","0,7293","0,0139","1,57312","0,54543867","0,15574697","0,13074293","0,045781369","9,55E-04","3,40E-03","0,028080027","0,00095469734","0,010415911","0,0024090075","6,07E-05","9,77E-06",0,"11,8279","133,1894","132,73017","0,32659964",0,"-0,015109781","0,0091825826","0,13855803","0,40884","0,38663","0,01337","0,00883","0,00002317937108","0,00000004944719312","1,237155071","1,10E-05","3,33E-08","9,10E-13","1,05E-09","2,76E-11","1,94E-08","1,20E-05","2,79E-09","1,32E-08","2,51E-12","3,67E-14","8,75E-11","5,47E-13","1,44E-12","2,08E-08","7,51E-08","9,52E-11","8,45E-05","1,2370706","1,89E-10","1,15E-12","5,15E-17","7,70E-04","9,71E-05","3,30E-04","3,29E-06","1,12E-04","1,25E-05","3,77E-08","1,89E-05","1,28E-06","2,25E-06","2,02E-07","6,45E-08","3,04E-09","3,23E-05","1,60E-04","4,11E-07","2,72E-08",see box A.130.02
"Materials, plastics, recycled plastics",kg ,"PA-11 (Nylon-11), not biodegradable, chemical upcycled","0,3975","0,0530","0,0279","0,0000","0,31654","0,0277695","0,00006502806","0,004869072","4,81E-02","0,00E+00","5,94E-05","0,00010994326","0,00E+00",0,0,"0,00E+00","0,00E+00",0,"2,3800","60,409","56,559",0,0,"3,85",0,0,"0,05372","0,04944","0,00185","0,00243","0,00000296416488","0,00000000682949007","0,340974","2,21E-06","6,66E-09","1,82E-13","0,00E+00","0,00E+00","7,25E-10","7,55E-07","1,65E-10","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,340974","0,00E+00","0,00E+00","0,00E+00","1,58E-04","0,00E+00","6,64E-05","1,29E-08","4,31E-05","0,00E+00","0,00E+00","0,00E+00","0,00E+00","3,93E-08","0,00E+00","0,00E+00","0,00E+00","5,17E-06","4,38E-05","0,00E+00","0,00E+00",see box A.130.02
"Materials, plastics, recycled plastics",kg ,PA (Nylons) chemical upcycled,"0,7578","0,0531","0,0275","0,0099","0,66725","0,025627806","0,0014371224","0,0058917288","0,046920591","3,91E-05","2,85E-04","0,000469418","0,00019708259","0,010415911","-0,00075960877","3,93E-05","9,77E-06",0,"5,0169","67,663848","63,915336","-0,10298499",0,"3,8384823","0,0035075422","0,0095071933","0,09391","0,08989","0,00386","0,00016","0,000005389116747","0,00000001426391","0,02271337839","4,65E-06","1,40E-08","3,84E-13","3,10E-11","3,05E-12","8,77E-10","7,32E-07","1,88E-10","-3,02E-11","9,31E-14","2,13E-15","1,41E-13","7,31E-15","9,34E-15","3,72E-10","2,33E-09","6,45E-11","2,14E-05","0,022692016","1,89E-10","1,15E-12","5,15E-17","1,91E-04","-1,59E-07","1,40E-04","5,51E-08","4,17E-05","9,74E-08","1,25E-09","1,60E-07","5,25E-08","1,88E-07","2,29E-08","4,22E-08","4,06E-10","5,42E-06","3,51E-06","3,20E-08","2,72E-08",see box A.130.02
"Materials, plastics, recycled plastics",kg ,PC (Polycarbonate) chemical upclycled,"0,5803","0,0028","0,0560","0,0097","0,51184","0,050790471","0,0048716262","0,0023301948","0,0002339948","3,91E-05","2,22E-04","0,00035905501","0,00019701799","0,010415911","-0,0010062242","3,93E-05","9,77E-06",0,"3,8484","68,833912","63,712329","-0,13641984",0,"5,2459762","0,0033891744","0,0086368892","0,07797","0,07515","0,00324","-0,00042","0,000004505605284","0,00000001198620545","-0,05881429129","3,57E-06","1,08E-08","2,94E-13","3,10E-11","3,05E-12","3,46E-10","9,35E-07","7,11E-11","1,09E-09","9,29E-14","2,12E-15","1,41E-13","7,31E-15","9,34E-15","3,72E-10","2,33E-09","6,45E-11","2,14E-05","-0,058835643","1,89E-10","1,15E-12","5,15E-17","1,17E-04","7,52E-06","1,07E-04","4,22E-08","6,30E-06","6,72E-08","1,25E-09","1,14E-07","5,25E-08","1,47E-07","2,29E-08","4,22E-08","4,06E-10","2,13E-06","-7,11E-06","3,19E-08","2,72E-08",see box A.130.02
"Materials, plastics, recycled plastics",kg ,"PE-biobased, not biodegradable, chemical upcycled","0,3394","0,0403","0,0504","0,0000","0,24871","0,04369374","0,006725","0,002888028","0,037394052","0,00E+00","1,84E-07","0,0000000035578039",0,0,0,"0,00E+00","0,00E+00",0,"1,8700","87,453","86,053",0,0,"1,4",0,0,"0,04728","0,04219","0,00169","0,00340","0,000002529309","0,000000006258483055","0,476566","1,74E-06","5,24E-09","1,43E-13","0,00E+00","0,00E+00","4,29E-10","7,94E-07","9,80E-11","9,24E-10","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,476566","0,00E+00","0,00E+00","0,00E+00","1,62E-04","6,37E-06","5,21E-05","4,17E-13","3,90E-05","0,00E+00","0,00E+00","0,00E+00","0,00E+00","1,22E-10","0,00E+00","0,00E+00","0,00E+00","2,98E-06","6,12E-05","0,00E+00","0,00E+00",see box A.130.02
"Materials, plastics, recycled plastics",kg ,PE (Polyethylene) chemical upcycled,"0,3658","0,0369","0,0473","0,0095","0,27212","0,039627918","0,00729193","0,0019718851","0,034662163","0,000039113122","2,21E-04","3,59E-04","1,97E-04","0,010415911","-0,0011130909","0,000039315318","0,0000097693051",0,"2,0460","40,571339","39,92576","-0,15090828",0,"0,78489022","0,0033378817","0,0082597574","0,04606","0,04384","0,00181","0,00042","0,000002628033701","0,000000006689177714","0,05859745109","1,89E-06","5,71E-09","1,56E-13",0,0,"2,93E-10","7,31E-07","6,07E-11","8,48E-10","9,28E-14","2,12E-15",0,0,0,"0,00000000037197831","0,0000000023334216",0,"2,13E-05","0,058576104","0,00000000018941222",0,0,"1,09E-04","5,87E-06","5,70E-05","4,22E-08","3,60E-05","5,41E-08","0,0000000012448493","9,40E-08","0,000000052487056","1,46E-07","0,000000022893302","0,000000042208042","0,00000000040597817","1,80E-06","7,89E-06","3,19E-08","0,000000027191505",see box A.130.02
"Materials, plastics, recycled plastics",kg ,PET (Polyethylene terephthalate) chemical upcycled,"0,3483","0,0136","0,0583","0,1084","0,16803","0,044106113","0,012245644","0,0094638284","0,0036141117","0,000066330654","4,16E-04","1,94E-03","1,80E-04","0,10791325","0,0003005508","0,000039315997","0,0000031733625",0,"1,2634","16,442235","16,027333","0,040746796",0,"0,36244008","0,0015030262","0,010211673","0,03796","0,03559","0,00132","0,00106","0,000002133631902","0,000000004878724959","0,1479125633","1,18E-06","3,55E-09","9,70E-14",0,0,"1,41E-09","9,47E-07","2,05E-10","1,05E-09","2,15E-13","4,20E-15",0,0,0,"0,0000000013306098","0,0000000068097125",0,"2,24E-05","0,14789017",0,0,0,"7,66E-05","7,69E-06","3,52E-05","2,27E-07","8,86E-06","8,85E-07","0,0000000035233033","1,35E-06","0,000000089011067","2,76E-07","0,00000001313218","0,000000042396051","0,00000000020059248","2,56E-06","1,93E-05","4,06E-08","0,0000000088324807",see box A.130.02
